Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 77,77,25,0.007355200010351837,1.1181344121343058,0.06109046936035156,1.0124865650881962,N/A,N/A,N/A,N/A
Tamanho 78,78,25,0.006664799991995096,0.906134433137772,0.06184577941894531,1.0123637953104998,N/A,N/A,N/A,N/A
Tamanho 79,79,20,0.008739000011701137,1.311217144129952,0.06259632110595703,1.012135697764071,N/A,N/A,N/A,N/A
Tamanho 80,80,24,0.0070121000171639025,0.8023915788734419,0.0633554458618164,1.0121273062449534,N/A,N/A,N/A,N/A
Tamanho 81,81,25,0.008944900007918477,1.2756378240503634,0.06411170959472656,1.0119368386193608,N/A,N/A,N/A,N/A
Tamanho 82,82,21,0.009106999961659312,1.018122053192024,0.06486320495605469,1.0117216553119328,N/A,N/A,N/A,N/A
Tamanho 83,83,25,0.007622700009960681,0.8370154872133997,0.06562232971191406,1.0117034728144205,N/A,N/A,N/A,N/A
Tamanho 84,84,24,0.0091829999582842,1.2046912440847277,0.0663766860961914,1.0114954221770092,N/A,N/A,N/A,N/A
Tamanho 85,85,24,0.00788799999281764,0.8589785504356549,0.06713199615478516,1.0113791468513385,N/A,N/A,N/A,N/A
Tamanho 86,86,25,0.008870899968314916,1.1246069949787332,0.06788825988769531,1.0112653246771697,N/A,N/A,N/A,N/A
Tamanho 87,87,23,0.009148699988145381,1.0313158778503546,0.06864166259765625,1.0110976877475908,N/A,N/A,N/A,N/A
Tamanho 88,88,24,0.008631400007288903,0.9434564493833244,0.0693979263305664,1.0110175614093586,N/A,N/A,N/A,N/A
Tamanho 89,89,27,0.010188299987930804,1.180376298089204,0.07015609741210938,1.010924981791697,N/A,N/A,N/A,N/A
Tamanho 90,90,24,0.009384299977682531,0.9210859504332712,0.0709085464477539,1.0107253547931052,N/A,N/A,N/A,N/A
Tamanho 91,91,27,0.008773699984885752,0.9349338795382831,0.07166671752929688,1.0106922383763937,N/A,N/A,N/A,N/A
Tamanho 92,92,26,0.009866899985354394,1.1245996560575209,0.08389568328857422,1.1706366104221004,N/A,N/A,N/A,N/A
Tamanho 93,93,29,0.010061000008136034,1.0196718344231468,0.08477592468261719,1.010492093985518,N/A,N/A,N/A,N/A
Tamanho 94,94,26,0.009611400018911809,0.9553125942887738,0.08565044403076172,1.0103156568497311,N/A,N/A,N/A,N/A
Tamanho 95,95,27,0.00978159997612238,1.017708133765703,0.08652877807617188,1.0102548685573036,N/A,N/A,N/A,N/A
Tamanho 96,96,30,0.011030900001060218,1.127719394371828,0.08740901947021484,1.010172816646828,N/A,N/A,N/A,N/A
Tamanho 97,97,28,0.011155999964103103,1.011340866387227,0.08828449249267578,1.0100158201952976,N/A,N/A,N/A,N/A
Tamanho 98,98,28,0.011293300020042807,1.0123072836483953,0.08916187286376953,1.0099381029025742,N/A,N/A,N/A,N/A
Tamanho 99,99,31,0.010663599998224527,0.9442412739676871,0.0900421142578125,1.0098723968639363,N/A,N/A,N/A,N/A
Tamanho 100,100,31,0.01150780002353713,1.0791665127586518,0.09091949462890625,1.0097441111675987,N/A,N/A,N/A,N/A
